"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"48 years" "women" 20129 17232 19657 22056 22754 21718 22436 21914 22659 24356 25514 26223 25038 26578 25623 22650 24529 25605 24504 22768 24002 26531 26574 26065 25081 23906 23165 23956 25493 24454 25839 25180 26441 25241 23450 24035 25494 27257 26186 25829 24674 26159 28606 26720 26745 27852 30156 30647 30353 28371 29943 30589 31124 30438 30581 28042 25337 27528 28074 29996 29295 30375 30981 31997 32323 33951 33442 35036 34020 34094 34776 35432 37276 37423 38445 39497 39278 38620 39612 40767 40077 41421 41962 43430 43505 44022 45392 44975 47737 48205 49035 48522 49473 50660 51378 52260 53436 54646 53098 53091 53865 53177 53099 51008 50832 51301 50345 49835 60585 56910 52975 51830 50727 49618 47879 46313 47033 45125 45864 44571 44126 41877 42304 42469 44364 45003 46884 48684 47536 50145 55992 61364 64908 65998 66730 65833 65257 62835 59922 57606 57947 58054 56715 57928 58075 58463 57309 57450 57509 58047 60005 62534 67668 67767 67767 67560 65200 62766 64364 66105 66457
"49 years" "men" 18174 17433 15071 17460 19365 20319 19488 20355 19802 20374 22048 22391 23680 22270 23653 22463 20296 21404 22632 21659 20063 21323 23322 23308 22726 21720 20951 19810 20403 22154 21264 22128 21771 23013 21664 20652 20861 21711 23642 22735 22894 21476 22820 24947 23518 23172 23837 26089 26462 25975 24557 25935 26836 26968 26628 27260 24584 21751 24517 25521 27432 27190 28051 28724 30424 30484 31941 31149 32386 31680 32007 32313 32624 34826 35215 36017 36528 36450 35279 36320 37849 37624 39007 39310 41415 41838 42657 43655 43507 45982 47131 47586 47253 48710 49148 51119 52059 53384 55021 54199 53912 54637 53944 53208 51165 51388 51588 50444 50582 60956 57099 52747 52059 50249 49538 47438 46053 46460 44564 45184 44134 43796 42062 42429 43527 44854 46108 48073 50168 49757 52174 59007 63897 68190 68689 68730 67342 66231 63808 61668 58712 59190 59681 57967 58940 60260 59376 59105 59425 58819 59920 61856 65318 69655 70465 70648 70318 67104 64826 66025 67837
"49 years" "women" 20306 19897 17021 19442 21782 22494 21440 22163 21583 22247 23839 25193 25923 24744 26254 25302 22455 24303 25350 24247 22235 23701 26188 26243 25781 24812 23648 22920 23670 25227 24330 25570 24843 26172 25024 23227 23839 25236 27023 25921 25488 24433 25907 28341 26470 26486 27595 29843 30422 30104 28142 29676 30335 30864 30204 30313 27854 25152 27238 27856 29673 29075 30128 30716 31789 32044 33720 33208 34787 33775 33842 34532 35259 36982 37192 38192 39215 38999 38383 39390 40498 39871 41227 41791 43266 43409 44008 45198 44852 47556 48019 48878 48349 49288 50493 51216 52108 53278 54481 52931 52826 53727 53044 52975 50882 50713 51164 50195 49710 60515 56799 52833 51672 50601 49473 47752 46219 46965 45036 45772 44482 44013 41795 42228 42393 44306 44931 46832 48602 47524 50075 55914 61241 64820 65963 66654 65712 65129 62718 59862 57568 57901 58026 56706 57878 58047 58490 57389 57523 57615 58090 60118 62612 67787 67910 67902 67775 65367 62977 64454 66165
"50 years" "men" 16441 17871 17130 14814 17164 19069 19939 19122 19881 19286 19613 21670 22027 23328 21854 23216 22212 20010 21102 22319 21217 19662 20949 22986 22988 22390 21422 20599 19481 20101 21867 20955 21795 21445 22754 21375 20365 20619 21421 23354 22614 22622 21176 22554 24695 23241 22919 23553 25841 26193 25700 24252 25655 26535 26669 26345 27040 24396 21511 24315 25408 27218 26966 27780 28482 30080 30238 31695 30880 32133 31387 31726 32080 32571 34601 35055 35725 36269 36221 35081 36099 37681 37367 38752 39094 41179 41738 42391 43478 43286 45667 46875 47348 47025 48472 48933 50908 51807 53126 54742 53761 53671 54370 53678 53022 50935 51156 51331 50203 50394 60753 56766 52362 51766 49979 49259 47189 45816 46181 44295 44941 43908 43565 41859 42186 43324 44635 45889 47907 50052 49602 51981 58732 63663 67940 68396 68426 67089 65958 63597 61537 58588 59092 59520 57789 58809 60225 59379 59010 59410 58724 59831 61798 65313 69788 70537 70850 70472 67216 64919 65972
"50 years" "women" 18633 20046 19656 16787 19185 21512 22180 21158 21818 21186 21910 23543 24875 25618 24412 25921 25105 22224 24058 25070 23885 21936 23383 25862 25943 25487 24560 23384 22652 23400 24964 24049 25228 24548 25948 24789 22986 23594 25013 26734 25734 25244 24166 25653 28059 26242 26224 27351 29537 30156 29837 27896 29414 30038 30624 29939 30121 27633 24886 26998 27615 29424 28841 29846 30489 31494 31796 33416 33001 34555 33481 33557 34342 34982 36748 36934 37933 38907 38772 38168 39193 40287 39672 41042 41643 43111 43261 43762 45049 44670 47338 47875 48689 48163 49105 50282 51046 51958 53107 54265 52655 52652 53562 52868 52828 50757 50571 51068 50071 49625 60405 56633 52661 51473 50475 49363 47631 46101 46867 44964 45662 44350 43929 41671 42139 42284 44197 44861 46760 48550 47479 49991 55792 61133 64784 65837 66470 65576 65031 62580 59785 57499 57868 57981 56642 57814 58064 58480 57437 57615 57631 58097 60116 62710 67926 68054 68104 67947 65531 63074 64502
"51 years" "men" 12567 16133 17550 16862 14507 16891 18706 19538 18664 19387 18700 19266 21339 21672 22891 21394 22953 21887 19738 20780 21873 20816 19292 20622 22647 22637 22063 21062 20256 19202 19895 21554 20613 21473 21204 22424 21062 20104 20347 21141 23184 22322 22335 20904 22288 24406 22967 22642 23289 25552 26015 25426 23980 25356 26250 26352 26113 26813 24082 21300 24212 25198 26956 26712 27522 28185 29821 29959 31423 30632 31932 31186 31505 31864 32328 34304 34730 35405 35975 35943 35118 35940 37407 37090 38536 38886 41040 41506 42149 43163 42857 45400 46577 47105 46737 48245 48637 50622 51557 52848 54391 53472 53364 54073 53438 52762 50661 50883 51053 50012 50167 60380 56387 51982 51428 49732 48961 46922 45575 45945 44029 44658 43654 43320 41658 41923 43101 44449 45702 47744 49879 49403 51779 58496 63481 67669 68073 68102 66805 65714 63422 61375 58416 58920 59335 57656 58724 60134 59277 58968 59326 58676 59777 61816 65351 69871 70720 70929 70496 67302 64848
"51 years" "women" 14825 18371 19771 19403 16539 18938 21192 21882 20808 21422 20738 21617 23216 24550 25271 24071 25698 24849 21991 23784 24539 23567 21622 23069 25580 25643 25218 24273 23086 22387 23006 24661 23711 24931 24321 25667 24536 22779 23351 24713 26430 25488 24977 23908 25408 27786 26000 25968 27069 29256 29903 29558 27659 29122 29770 30322 29673 29890 27347 24639 26739 27414 29170 28592 29617 30213 31230 31519 33155 32686 34162 33233 33353 34066 34793 36398 36658 37629 38647 38545 38001 38963 40027 39480 40854 41414 42941 43077 43574 44826 44438 47161 47636 48431 47982 48923 50085 50871 51775 52901 53984 52459 52495 53396 52707 52669 50615 50401 50914 49930 49503 60216 56401 52466 51322 50295 49232 47511 45962 46719 44830 45525 44277 43793 41605 42046 42194 44108 44809 46713 48441 47401 49901 55701 61074 64639 65681 66305 65443 64909 62442 59696 57458 57791 57905 56558 57802 58108 58505 57494 57612 57662 58125 60144 62789 67992 68254 68266 68095 65592 63063
"52 years" "men" 13218 12294 15817 17247 16543 14228 16582 18318 19075 18168 18670 18343 18931 20968 21253 22427 21112 22606 21594 19430 20352 21454 20432 18951 20297 22290 22287 21695 20720 19963 19080 19594 21208 20278 21201 20917 22136 20760 19827 20055 21051 22897 22026 22053 20634 21975 24084 22679 22350 23023 25307 25700 25158 23661 25092 25936 26119 25880 26470 23840 21157 23979 24937 26724 26465 27228 27905 29531 29715 31134 30280 31602 30938 31376 31656 32009 33998 34419 35076 35690 35467 34926 35668 37126 36845 38298 38734 40704 41265 41851 42770 42687 45123 46279 46803 46445 47963 48344 50332 51248 52425 54072 53178 53084 53759 53115 52430 50399 50573 50792 49738 49827 59924 56027 51634 51141 49412 48635 46634 45242 45622 43760 44365 43359 43063 41413 41723 42883 44244 45520 47513 49651 49181 51516 58265 63186 67363 67755 67780 66546 65494 63243 61149 58275 58709 59182 57527 58569 60015 59214 58801 59205 58627 59707 61861 65335 69963 70758 70938 70487 67197
"52 years" "women" 15257 14592 18120 19522 19131 16318 18636 20873 21519 20403 21019 20430 21306 22895 24185 24922 23822 25424 24585 21738 23382 24191 23236 21325 22797 25285 25343 24940 23959 22824 22171 22728 24315 23398 24675 24056 25381 24291 22546 23094 24547 26147 25209 24697 23663 25127 27514 25724 25701 26800 28984 29613 29298 27380 28868 29504 30101 29433 29600 27073 24395 26512 27182 28951 28346 29340 29981 30927 31242 32844 32358 33953 33014 33105 33829 34516 36099 36394 37366 38350 38175 37770 38695 39807 39299 40657 41308 42706 42895 43324 44551 44269 46919 47387 48217 47786 48750 49910 50667 51540 52546 53775 52275 52323 53182 52528 52505 50471 50250 50802 49808 49338 59951 56190 52301 51150 50144 49111 47377 45812 46586 44725 45387 44136 43666 41470 41975 42111 44043 44776 46636 48352 47302 49821 55643 60947 64465 65471 66164 65287 64779 62335 59653 57368 57726 57788 56487 57795 58083 58528 57454 57601 57685 58159 60156 62839 68150 68353 68376 68126 65573
"53 years" "men" 14001 12954 12011 15515 16905 16244 13925 16237 17856 18548 17454 18303 17992 18577 20568 20818 22109 20776 22275 21258 18997 19948 21053 20073 18625 19945 21945 21905 21322 20413 19791 18818 19231 20874 20008 20869 20638 21819 20476 19545 19985 20740 22546 21727 21777 20360 21667 23785 22395 22082 22822 24990 25380 24818 23319 24763 25683 25809 25536 26163 23568 20918 23690 24661 26462 26164 26968 27667 29272 29443 30850 30072 31329 30631 31125 31351 31677 33692 34088 34792 35515 35256 34643 35389 36847 36598 38101 38417 40397 40991 41566 42501 42389 44823 45966 46512 46143 47661 48023 50017 50803 52068 53696 52866 52726 53408 52751 52099 50084 50276 50466 49387 49424 59439 55659 51256 50774 49065 48278 46303 44923 45266 43499 44023 43106 42815 41154 41492 42689 44073 45286 47266 49365 48930 51319 57956 62810 66965 67466 67507 66298 65259 63023 60914 58087 58462 58972 57411 58384 59893 59051 58678 59031 58581 59711 61817 65468 69966 70698 70875 70334
"53 years" "women" 16208 15031 14359 17889 19235 18885 16026 18343 20532 21096 19912 20693 20133 20996 22542 23820 24654 23525 25137 24284 21387 23052 23807 22932 21037 22506 24975 25042 24601 23649 22571 21884 22418 24009 23118 24424 23781 25087 24014 22239 22826 24279 25832 24909 24432 23398 24841 27244 25456 25467 26535 28657 29309 28981 27091 28572 29252 29849 29055 29315 26804 24171 26244 26942 28715 28063 29094 29694 30602 30971 32502 32061 33721 32707 32858 33508 34236 35802 36094 37102 38079 37912 37471 38466 39554 39049 40483 40987 42502 42639 43049 44346 44052 46645 47143 47968 47554 48540 49662 50430 51247 52333 53544 52030 52125 52966 52347 52369 50257 50082 50655 49592 49102 59696 55965 52083 50957 49972 48952 47212 45648 46459 44568 45240 43979 43527 41354 41862 42032 43953 44655 46564 48196 47246 49803 55518 60757 64263 65300 65978 65194 64630 62248 59556 57290 57628 57748 56437 57760 58044 58476 57444 57580 57698 58213 60211 62962 68215 68451 68394 68080
"54 years" "men" 13265 13720 12666 11746 15201 16582 15911 13580 15814 17353 17805 17088 17951 17649 18184 20153 20467 21758 20422 21919 20750 18589 19565 20673 19710 18289 19598 21577 21497 20975 20142 19505 18461 18899 20568 19661 20514 20295 21469 20164 19336 19670 20441 22199 21412 21422 20072 21369 23472 22092 21839 22473 24649 25024 24494 23003 24512 25365 25442 25244 25940 23314 20689 23447 24374 26100 25850 26657 27396 29001 29194 30518 29772 31162 30346 30787 31040 31351 33363 33778 34374 35241 34955 34339 35106 36594 36429 37783 38150 40023 40614 41214 42139 42067 44502 45652 46121 45791 47354 47679 49561 50465 51708 53316 52529 52346 53009 52372 51742 49737 49962 50085 48979 48990 58977 55213 50871 50397 48684 47892 45974 44589 44934 43205 43717 42803 42500 40873 41244 42502 43835 45048 47009 49113 48826 51047 57575 62410 66619 67153 67198 66010 65019 62775 60662 57790 58267 58802 57222 58261 59686 58906 58567 58927 58567 59610 61865 65410 69839 70581 70684
"54 years" "women" 15478 15964 14770 14154 17616 18954 18571 15740 18022 20125 20503 19574 20401 19810 20660 22180 23571 24347 23223 24793 23869 21054 22649 23464 22607 20739 22217 24632 24684 24278 23357 22282 21557 22119 23741 22852 24139 23510 24789 23702 21982 22555 23940 25522 24612 24138 23145 24563 26907 25158 25225 26246 28350 29012 28663 26834 28289 28958 29473 28748 28937 26502 23915 25991 26719 28399 27797 28781 29388 30314 30615 32213 31820 33330 32458 32629 33228 33922 35498 35811 36810 37767 37634 37206 38243 39340 38890 40264 40746 42238 42405 42852 44070 43814 46373 46916 47748 47333 48339 49429 50118 50981 52087 53306 51812 51926 52747 52121 52165 50074 49898 50420 49356 48879 59430 55770 51890 50788 49775 48748 47029 45503 46303 44383 45129 43855 43387 41239 41786 41964 43867 44539 46422 48088 47228 49682 55347 60575 64080 65160 65819 65053 64510 62118 59441 57131 57479 57687 56377 57709 57972 58402 57402 57520 57682 58199 60348 62984 68209 68405 68319
"55 years" "men" 13281 12973 13397 12403 11482 14873 16223 15519 13169 15372 16853 17415 16731 17593 17240 17774 19788 20087 21396 20055 21301 20306 18213 19185 20300 19360 17935 19272 21187 21128 20769 19815 19119 18110 18589 20240 19339 20215 19999 21113 20044 19037 19399 20147 21881 21054 21111 19784 21048 23116 21762 21550 22144 24233 24697 24179 22746 24197 24978 25146 24995 25619 22987 20455 23179 24044 25789 25554 26380 27066 28675 28814 30240 29403 30838 29977 30432 30672 30995 33077 33344 34134 34897 34607 34007 34774 36329 36056 37476 37837 39597 40306 40859 41763 41684 44099 45274 45787 45470 46960 47215 49124 50040 51296 52860 52107 51942 52606 51911 51400 49402 49521 49602 48560 48565 58470 54732 50430 49957 48263 47474 45589 44218 44558 42849 43358 42510 42203 40574 41017 42236 43577 44762 46726 48869 48546 50727 57259 62014 66213 66857 66917 65725 64722 62447 60371 57567 58074 58607 57088 58075 59507 58701 58434 58857 58464 59613 61811 65308 69700 70398
"55 years" "women" 15692 15225 15690 14551 13889 17324 18602 18227 15410 17652 19653 20161 19266 20074 19469 20329 21924 23258 24026 22896 24239 23494 20671 22301 23133 22293 20468 21883 24279 24304 23819 23047 21915 21254 21848 23458 22607 23857 23251 24448 23350 21689 22278 23646 25236 24273 23846 22865 24274 26607 24839 24913 25934 28036 28664 28358 26548 27982 28531 29133 28353 28624 26182 23668 25700 26432 28088 27486 28519 29097 30015 30289 31918 31481 33029 32153 32274 32929 33605 35180 35534 36515 37475 37367 36948 37994 39093 38565 39985 40492 41911 42196 42541 43764 43563 46098 46637 47495 47121 48090 49067 49867 50765 51829 53046 51586 51689 52588 51889 51935 49881 49675 50183 49133 48653 59164 55530 51691 50597 49548 48536 46848 45339 46112 44208 44947 43683 43243 41128 41693 41862 43752 44400 46342 48032 47169 49512 55138 60379 63885 64947 65661 64922 64354 61954 59272 57064 57426 57605 56310 57660 57909 58337 57362 57503 57680 58257 60368 63010 68104 68317
"56 years" "men" 12975 12980 12651 13096 12124 11186 14541 15800 15059 12731 14701 16470 17051 16372 17183 16826 17420 19415 19721 21003 19559 20831 19895 17835 18821 19944 19009 17593 18897 20790 20812 20399 19398 18754 17793 18232 19889 19013 19860 19636 20939 19729 18709 19106 19823 21513 20717 20751 19468 20740 22861 21407 21254 21799 23876 24313 23885 22450 23854 24634 24821 24681 25272 22710 20194 22824 23728 25495 25264 26057 26708 28395 28509 30007 29080 30452 29609 30030 30293 30624 32752 33059 33775 34530 34270 33448 34505 35944 35715 37092 37439 39208 39878 40463 41334 41234 43683 44842 45388 45086 46388 46804 48680 49582 50864 52389 51678 51482 52151 51531 50999 48948 49025 49117 48123 48131 57937 54204 49933 49475 47799 47028 45177 43835 44162 42466 42992 42201 41903 40317 40718 41922 43248 44505 46480 48545 48232 50355 56901 61645 65848 66522 66601 65380 64402 62115 60104 57322 57850 58418 56798 57827 59245 58619 58327 58745 58410 59464 61738 65138 69410
"56 years" "women" 15485 15435 14933 15430 14283 13627 16990 18207 17863 15050 17192 19303 19831 18930 19726 19133 20050 21616 22930 23698 22554 23846 23096 20321 21982 22797 21981 20137 21539 23888 23904 23477 22676 21604 20972 21558 23203 22313 23587 22920 24037 23055 21390 21969 23341 24872 23965 23559 22586 23984 26281 24549 24574 25627 27736 28322 28036 26260 27608 28173 28741 28010 28288 25912 23427 25364 26112 27765 27181 28220 28815 29623 30018 31550 31172 32730 31829 31951 32602 33298 34863 35228 36220 37174 37077 36606 37696 38847 38331 39691 40224 41642 41881 42204 43500 43302 45817 46344 47205 46818 47723 48828 49604 50471 51575 52754 51326 51408 52341 51670 51746 49655 49376 49911 48883 48406 58889 55280 51510 50378 49354 48324 46620 45166 45925 44044 44792 43531 43129 41038 41561 41706 43581 44281 46329 47910 47013 49333 54951 60158 63648 64760 65455 64772 64149 61763 59161 56949 57294 57520 56220 57518 57850 58251 57346 57448 57719 58228 60297 62961 68001
"57 years" "men" 12366 12653 12660 12338 12777 11824 10907 14146 15310 14563 12506 14351 16112 16673 15961 16751 16497 17074 19057 19339 20393 19067 20401 19485 17465 18433 19600 18623 17233 18524 20467 20396 19952 18983 18425 17466 17887 19500 18727 19436 19475 20628 19386 18393 18782 19468 21118 20383 20408 19191 20550 22457 21090 20891 21460 23502 23964 23570 22053 23531 24390 24509 24338 24930 22434 19900 22538 23419 25190 24932 25755 26410 28053 28251 29636 28767 30019 29227 29625 29939 30229 32453 32669 33390 34066 34167 33324 34113 35569 35291 36660 37029 38803 39443 40078 40957 40810 43224 44388 44913 44529 45923 46349 48226 49043 50350 51878 51174 50955 51648 51039 50487 48400 48509 48654 47643 47592 57362 53640 49394 48960 47322 46539 44800 43435 43740 42071 42616 41851 41556 39970 40382 41580 42936 44240 46185 48188 47895 50008 56536 61287 65478 66155 66266 64951 64025 61790 59820 57028 57604 58152 56571 57585 59028 58441 58200 58637 58275 59263 61558 64848
"57 years" "women" 14867 15204 15139 14649 15139 14031 13325 16628 17802 17481 14897 16854 18986 19475 18586 19360 18854 19756 21279 22569 23016 22147 23426 22709 19969 21631 22428 21645 19785 21206 23463 23544 23053 22322 21290 20674 21253 22872 22013 23254 22596 23705 22719 21090 21683 22995 24548 23630 23256 22290 23655 25933 24247 24282 25325 27378 28015 27707 25858 27279 27862 28376 27651 27969 25611 23136 25087 25802 27422 26895 27921 28463 29295 29662 31245 30795 32357 31433 31636 32302 32929 34514 34943 35922 36852 36897 36393 37417 38553 38003 39357 39874 41261 41552 41898 43197 43015 45495 46050 46885 46381 47441 48559 49303 50223 51276 52450 51096 51099 52091 51451 51468 49363 49124 49626 48626 48171 58612 55033 51266 50101 49135 48115 46418 44944 45734 43848 44661 43368 42995 40912 41427 41568 43503 44228 46210 47721 46852 49118 54718 59900 63440 64539 65228 64549 63898 61592 59062 56800 57182 57412 56121 57396 57754 58147 57264 57402 57689 58148 60205 62842
"58 years" "men" 12434 12044 12296 12347 11996 12457 11527 10564 13689 14809 13962 12158 14027 15733 16237 15519 16408 16146 16727 18680 18822 19882 18612 19955 19076 17025 18083 19178 18243 16871 18277 20042 19914 19516 18632 18061 17108 17532 19139 18335 19277 19094 20229 19044 18053 18447 19131 20761 20047 20108 18912 20188 22042 20744 20522 21089 23093 23596 23187 21724 23217 24032 24128 23972 24559 22081 19602 22206 23084 24840 24571 25336 26075 27657 27900 29194 28350 29599 28837 29230 29536 29893 32056 32253 32969 33666 33505 32698 33749 35132 34816 36240 36626 38318 39004 39624 40502 40349 42724 43901 44376 44051 45411 45832 47712 48539 49803 51375 50590 50469 51129 50482 49866 47858 47969 48088 47084 47068 56685 53018 48844 48440 46827 46079 44370 42972 43311 41642 42266 41502 41201 39598 40044 41262 42650 43924 45844 47823 47556 49656 56194 60878 65087 65776 65874 64595 63637 61451 59495 56726 57307 57900 56338 57390 58834 58239 58069 58503 58138 59022 61278
"58 years" "women" 15221 14560 14905 14825 14320 14840 13731 13012 16235 17367 16770 14577 16549 18634 19110 18196 19069 18533 19446 20915 22005 22607 21727 23036 22321 19604 21272 22072 21280 19439 20809 23084 23098 22682 21990 20965 20369 20937 22517 21644 22868 22252 23345 22370 20792 21365 22695 24198 23310 22926 21987 23333 25591 23936 23996 24970 27060 27659 27321 25513 26963 27505 27996 27340 27629 25271 22871 24752 25469 27089 26501 27529 28120 28973 29322 30856 30394 31942 31100 31301 31978 32581 34166 34617 35570 36440 36500 35982 37103 38199 37685 39014 39537 40912 41217 41569 42878 42690 45184 45727 46474 46072 47128 48267 48984 49887 50960 52122 50717 50849 51810 51142 51117 49056 48807 49344 48384 47938 58300 54719 50992 49847 48909 47907 46180 44716 45522 43660 44481 43187 42823 40719 41270 41437 43478 44107 46064 47499 46646 48912 54490 59668 63214 64296 64975 64277 63711 61418 58924 56643 56996 57257 56007 57287 57649 58030 57272 57304 57577 58018 60038
"59 years" "men" 10774 12117 11670 11962 11983 11666 12113 11175 10149 13252 14085 13577 11850 13682 15290 15763 15158 16053 15789 16341 18059 18290 19416 18145 19493 18592 16627 17700 18739 17822 16721 17861 19560 19475 19149 18217 17690 16763 17144 18757 18103 18917 18704 19878 18686 17670 18104 18773 20377 19671 19832 18567 19801 21615 20376 20098 20733 22747 23133 22795 21387 22882 23626 23748 23648 24180 21696 19308 21857 22745 24562 24262 24993 25719 27256 27488 28771 27923 29130 28463 28822 29209 29456 31602 31805 32587 33354 33309 32253 33351 34592 34370 35756 36099 37841 38511 39166 39985 39894 42229 43228 43824 43532 44813 45213 47151 47927 49266 50689 49980 49904 50526 49840 49242 47237 47407 47450 46514 46491 56017 52367 48252 47853 46256 45554 43827 42468 42850 41229 41859 41078 40745 39207 39673 41003 42286 43575 45454 47461 47191 49291 55819 60415 64672 65357 65432 64191 63257 61075 59160 56365 56975 57606 56059 57097 58643 58083 57852 58287 57933 58724
"59 years" "women" 13190 14910 14231 14586 14478 13993 14486 13398 12669 15799 16989 16406 14241 16206 18242 18696 17885 18713 18228 19109 20467 21583 22170 21314 22625 21914 19246 20905 21672 20906 19239 20460 22614 22689 22321 21635 20638 20030 20620 22161 21260 22508 21894 22951 21968 20451 21039 22356 23823 22964 22585 21641 22977 25225 23605 23640 24653 26657 27196 26936 25163 26605 27125 27637 26963 27254 24957 22558 24449 25111 26717 26146 27240 27717 28631 28911 30456 29970 31554 30717 30857 31584 32216 33804 34237 35262 36176 36238 35636 36713 37818 37316 38649 39175 40544 40867 41243 42543 42369 44819 45290 46127 45696 46752 47922 48665 49549 50658 51716 50447 50547 51466 50766 50796 48760 48501 49018 48097 47662 57942 54362 50669 49568 48654 47634 45898 44477 45326 43465 44313 42996 42614 40532 41109 41386 43341 43953 45846 47274 46454 48719 54254 59409 62962 64028 64734 64040 63483 61228 58703 56454 56852 57121 55851 57107 57481 57956 57120 57201 57469 57817
"60 years" "men" 9920 10432 11747 11325 11570 11642 11312 11711 10728 9739 12749 13656 13225 11501 13261 14811 15378 14778 15697 15412 16051 17527 17834 18943 17660 19000 18131 16237 17258 18292 17433 16313 17396 19098 19049 18743 17809 17255 16402 16757 18568 17733 18531 18358 19415 18270 17317 17759 18385 19976 19360 19441 18157 19358 21231 19986 19741 20365 22286 22719 22443 21026 22470 23228 23301 23221 23757 21350 19004 21478 22340 24101 23896 24710 25285 26845 27024 28299 27463 28711 28052 28492 28784 29005 31177 31382 32117 32806 32838 31797 32795 34110 33912 35234 35587 37261 37986 38576 39470 39353 41534 42668 43198 42891 44201 44560 46493 47296 48568 50066 49382 49193 49802 49182 48566 46597 46770 46815 45866 45883 55234 51655 47638 47210 45691 44985 43269 41934 42364 40793 41361 40620 40335 38862 39381 40624 41894 43132 45041 47017 46796 48910 55381 59973 64197 64821 64973 63758 62811 60747 58765 56008 56688 57265 55781 56807 58403 57876 57581 57990 57622
"60 years" "women" 12104 12868 14561 13888 14224 14140 13618 14118 13040 12277 15278 16590 16056 13890 15829 17817 18351 17521 18378 17874 18592 20022 21147 21713 20880 22174 21493 18874 20477 21254 20424 18881 20008 22176 22310 21939 21271 20328 19710 20262 21624 20909 22100 21552 22554 21585 20131 20703 22002 23484 22549 22234 21323 22606 24838 23211 23328 24296 26231 26762 26466 24781 26211 26728 27223 26543 26896 24579 22252 24108 24725 26337 25819 26873 27330 28203 28486 30013 29558 31130 30307 30482 31194 31825 33411 33813 34844 35710 35823 35222 36355 37422 36927 38211 38799 40140 40497 40871 42174 42011 44360 44929 45759 45329 46413 47545 48307 49220 50272 51361 50136 50208 51109 50434 50471 48440 48165 48683 47751 47320 57574 54006 50388 49273 48380 47348 45642 44280 45108 43264 44109 42827 42419 40396 41055 41290 43154 43709 45624 47053 46242 48493 54006 59158 62659 63726 64440 63770 63248 61033 58446 56247 56664 56948 55667 56940 57313 57803 56939 57024 57282
"61 years" "men" 10543 9572 10043 11403 10924 11228 11293 10895 11251 10298 9535 12338 13247 12832 11096 12833 14432 14969 14419 15317 14975 15560 17059 17367 18464 17185 18520 17677 15789 16816 17865 17017 15873 16969 18655 18588 18319 17404 16884 16010 16600 18162 17334 18113 17958 18969 17859 16934 17378 17995 19608 18985 19032 17781 18957 20761 19609 19350 19922 21868 22366 22028 20605 22070 22815 22828 22794 23353 20975 18649 21070 21985 23715 23446 24289 24824 26397 26546 27782 26930 28186 27654 28046 28322 28534 30670 30869 31597 32314 32312 31189 32284 33578 33379 34709 35009 36666 37394 37943 38937 38644 40907 42011 42501 42306 43513 43840 45776 46596 47882 49324 48630 48467 49052 48416 47783 45856 46072 46110 45157 45194 54430 50891 46952 46568 45101 44387 42689 41391 41824 40313 40895 40149 39952 38525 38961 40257 41411 42714 44638 46586 46398 48519 54971 59441 63645 64312 64522 63294 62429 60306 58388 55619 56292 56899 55456 56461 58071 57551 57235 57619
"61 years" "women" 13255 11772 12504 14198 13500 13890 13779 13219 13713 12632 12058 14890 16247 15684 13508 15424 17449 17967 17164 17999 17365 18155 19570 20686 21272 20400 21715 21057 18444 20031 20749 20005 18405 19565 21767 21872 21555 20915 19993 19298 19893 21257 20506 21668 21155 22131 21240 19755 20384 21603 23048 22173 21856 20972 22238 24413 22852 22959 23819 25737 26189 26036 24327 25792 26319 26767 26137 26445 24221 21893 23650 24309 25960 25410 26498 26896 27793 28025 29566 29153 30684 29914 30071 30794 31456 32996 33372 34430 35296 35375 34804 35915 36981 36493 37784 38378 39719 40072 40461 41723 41539 43947 44542 45400 44932 46005 47131 47963 48786 49896 50988 49796 49800 50708 50036 50083 48086 47838 48336 47418 46989 57154 53644 50054 48956 48036 47083 45361 44031 44905 43056 43896 42591 42218 40329 40956 41104 42898 43454 45357 46796 46017 48221 53725 58834 62327 63399 64182 63509 63058 60780 58247 56019 56463 56743 55469 56770 57102 57580 56724 56790
