"Mean population (by year of birth) by region, age, sex and year"

"region","age","sex","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00 Sweden","65 years","women",47108.5,52568.5,57589.0,61078.0,62194.0,62921.0,62355.5,61901.5,59625.0,57251.0,55091.5,55461.5,55750.0,54529.0,55763.5
"00 Sweden","66 years","men",44162.5,46112.0,52448.0,56662.0,60761.0,61591.0,61790.5,60749.0,59929.5,57977.0,56238.5,53464.0,54269.0,54670.0,53437.0
"00 Sweden","66 years","women",44670.5,46701.5,52161.5,57179.5,60634.0,61756.0,62481.5,61896.0,61455.5,59220.0,56884.5,54727.5,55102.5,55360.0,54159.5
"00 Sweden","67 years","men",43656.0,43529.5,45476.5,51772.0,55940.0,59995.5,60820.0,61050.5,60053.0,59247.0,57307.5,55602.0,52852.0,53684.0,54032.0
"00 Sweden","67 years","women",45052.0,44319.5,46276.0,51769.5,56749.5,60159.0,61308.0,62008.0,61392.0,60976.0,58773.5,56469.0,54310.5,54730.5,54925.0
"00 Sweden","68 years","men",41042.0,42985.5,42900.5,44850.5,51090.5,55166.0,59189.5,60030.5,60240.5,59273.5,58492.5,56625.5,54922.0,52174.5,53028.5
"00 Sweden","68 years","women",43176.5,44671.0,43941.0,45854.5,51324.0,56294.0,59653.5,60791.0,61504.5,60868.5,60483.5,58298.5,55990.5,53882.0,54310.5
"00 Sweden","69 years","men",38493.5,40393.5,42241.5,42248.5,44209.5,50336.0,54346.5,58368.5,59190.5,59384.5,58440.0,57698.5,55872.5,54175.5,51458.5
"00 Sweden","69 years","women",40989.5,42759.5,44208.5,43549.0,45406.0,50819.5,55748.0,59100.5,60217.0,60935.5,60348.0,59964.5,57760.0,55482.0,53425.0
"00 Sweden","70 years","men",36480.5,37775.5,39683.5,41483.5,41514.0,43482.0,49521.5,53469.0,57470.5,58301.5,58471.0,57551.0,56839.0,55070.0,53332.0
"00 Sweden","70 years","women",39900.5,40552.5,42314.5,43700.5,43103.0,44922.5,50309.5,55137.0,58511.5,59597.0,60317.5,59768.0,59372.5,57164.5,54954.5
"00 Sweden","71 years","men",34451.0,35743.5,37003.5,38924.0,40709.0,40729.0,42704.5,48651.5,52530.0,56443.5,57363.0,57466.0,56604.0,55922.5,54156.0
"00 Sweden","71 years","women",37544.5,39418.5,40074.0,41835.0,43180.0,42584.5,44400.0,49757.5,54514.5,57864.5,58931.5,59651.0,59094.5,58743.5,56528.0
"00 Sweden","72 years","men",32381.5,33681.0,34969.0,36218.5,38111.5,39874.0,39930.5,41873.5,47703.0,51528.0,55328.5,56367.0,56407.0,55625.5,54915.5
"00 Sweden","72 years","women",36800.0,37022.0,38904.0,39553.5,41326.0,42615.0,42040.0,43860.0,49156.0,53809.0,57117.0,58201.0,58891.0,58383.5,58065.5
"00 Sweden","73 years","men",31005.5,31508.0,32879.5,34119.5,35401.5,37228.5,38992.5,39095.5,41013.5,46697.5,50469.0,54192.0,55278.5,55263.5,54547.5
"00 Sweden","73 years","women",35736.5,36211.0,36475.0,38317.0,38951.5,40754.5,41958.5,41445.5,43288.5,48515.5,53021.0,56303.0,57373.5,58061.5,57570.5
"00 Sweden","74 years","men",31153.5,30151.5,30608.5,31999.0,33219.0,34515.5,36279.5,38057.0,38202.5,40082.0,45603.0,49354.5,53008.0,54093.5,54009.0
"00 Sweden","74 years","women",36831.5,35141.5,35590.0,35888.5,37656.5,38301.5,40110.5,41264.0,40788.5,42624.0,47799.5,52179.0,55430.5,56497.5,57172.0
"00 Sweden","75 years","men",29967.5,30207.0,29219.0,29655.0,31054.5,32305.5,33541.5,35240.0,37036.0,37212.5,39064.5,44452.5,48146.0,51725.0,52768.5
"00 Sweden","75 years","women",36358.0,36095.5,34502.0,34929.5,35223.0,36962.5,37604.0,39406.0,40552.5,40069.5,41907.5,47000.0,51266.5,54493.0,55550.0
"00 Sweden","76 years","men",29230.5,28860.0,29204.5,28222.0,28656.5,30054.0,31332.0,32487.5,34140.0,35921.0,36132.5,38022.5,43246.0,46817.0,50283.0
