name,code,sex,age,ex_2015,ex_2019,ex_2020,ex_diff_1519,ex_diff_1920,ex_diff_1920_q025,ex_diff_1920_q975,ex_avgdiff_pre2020,ex_avgdiff_pre2020_q025,ex_avgdiff_pre2020_q975,rank_e0f19,rank_d0m20
Spain,ES,Female,85,7.043315951587601,8.128880071764346,6.957592929088665,1.0855641201767448,-1.1712871426756815,-1.2357822697246363,-1.1123193057396998,0.2713910300441862,0.25485778062841696,0.28691359445560294,30,6
Spain,ES,Male,0,79.93020296889891,81.04684761787875,79.6485897554003,1.1166446489798432,-1.3982578624784594,-1.4745584580951863,-1.3268462097976073,0.2791611622449608,0.2606725651235593,0.29969838942326965,30,6
Spain,ES,Male,10,70.23381557594709,71.32787785715554,69.89961643997256,1.0940622812084513,-1.4282614171829806,-1.5016964860458346,-1.3585087293512275,0.2735155703021128,0.25691292378830377,0.29205271283059464,30,6
Spain,ES,Male,20,60.33621183701008,61.430749309947096,59.99157260152271,1.094537472937013,-1.4391767084243838,-1.5085454391625084,-1.3758184766577177,0.27363436823425324,0.2571259888369964,0.2911030388424203,30,6
Spain,ES,Male,30,50.54237976883215,51.64081549956446,50.218711074038964,1.0984357307323123,-1.4221044255254967,-1.4870134225365903,-1.3539140204234204,0.27460893268307807,0.2577348262146081,0.2920623134009822,30,6
Spain,ES,Male,40,40.80665304821029,41.916648033867,40.52158735431181,1.109994985656705,-1.3950606795551863,-1.4582444010179634,-1.330749309259676,0.27749874641417627,0.26072898987445897,0.2942053762275065,30,6
Spain,ES,Male,50,31.39021045176786,32.42595183673832,31.047397484705957,1.0357413849704606,-1.3785543520323635,-1.4421152234629968,-1.3190853289244013,0.25893534624261516,0.24217349641931757,0.2750806576456838,30,6
Spain,ES,Male,60,22.767497633779666,23.712494737770474,22.332338992209657,0.9449971039908078,-1.3801557455608169,-1.4374339994031122,-1.3231445364886598,0.23624927599770196,0.22003837248522246,0.2508951528496999,30,6
Spain,ES,Male,70,15.063621376624715,15.98446292908785,14.70765148335483,0.9208415524631359,-1.2768114457330206,-1.3353340216067873,-1.2221486957220788,0.23021038811578398,0.21471854728144057,0.24444811954272427,30,6
Spain,ES,Male,80,8.546164415629196,9.311616406569842,8.229491715207308,0.7654519909406456,-1.0821246913625338,-1.1395731606720303,-1.0267845910420625,0.1913629977351614,0.17556505861779936,0.20630894279185769,30,6
Spain,ES,Male,85,5.978625589978743,6.893734988265385,5.776450953235001,0.9151093982866421,-1.1172840350303845,-1.1878851049354107,-1.0483187114104064,0.22877734957166052,0.2115426183702297,0.2462016603192095,30,6
Finland,FI,Female,0,84.07031469838486,84.50099806047307,84.51345527948202,0.4306833620882031,0.012457219008950915,-0.19606310989837503,0.22967138517291186,0.10767084052205078,0.05559628156576704,0.16244339065349056,26,28
Finland,FI,Female,10,74.25968246129727,74.67785768657187,74.66323142024596,0.41817522527459516,-0.014626266325905135,-0.1969977602673268,0.1778206982645832,0.10454380631864879,0.05538343713842542,0.15477409463880554,26,28
Finland,FI,Female,20,64.3551814530733,64.8115473436134,64.76303312009286,0.45636589054009846,-0.04851422352054158,-0.234291713220718,0.14127457400641058,0.11409147263502462,0.06707818180284972,0.1604031996855717,26,28
Finland,FI,Female,30,54.49613734642597,55.03193015441624,54.95296922808713,0.5357928079902692,-0.07896092632910978,-0.251404899205237,0.11055488769765554,0.1339482019975673,0.08906000374627832,0.18063354659527603,26,28
Finland,FI,Female,40,44.70481886331433,45.26150131841083,45.18612001944715,0.5566824550964995,-0.07538129896367707,-0.2410006861412775,0.10965677189585937,0.13917061377412487,0.09517926023250309,0.1864422992893226,26,28
Finland,FI,Female,50,35.102981692415376,35.65190974021385,35.57738785629859,0.5489280477984764,-0.07452188391525993,-0.22764376688360777,0.10084743362720211,0.1372320119496191,0.09523844707372539,0.18183254434429788,26,28
Finland,FI,Female,60,25.90127652471882,26.395937474825605,26.301722761149012,0.494660950106784,-0.09421471367659251,-0.24759305096545575,0.07627359679387792,0.123665237526696,0.082938970178075,0.16662439093518988,26,28
Finland,FI,Female,70,17.309597615988302,17.744023352438433,17.642671496066797,0.4344257364501303,-0.10135185637163602,-0.22960114657010838,0.05085553397214259,0.10860643411253257,0.07109297709385781,0.1489533212536384,26,28
Finland,FI,Female,80,9.626912075059773,10.061394593998621,9.912653693771826,0.43448251893884837,-0.14874090022679454,-0.2924368786014763,-0.006769406468383263,0.10862062973471209,0.0732166122319953,0.14817399249406094,26,28
Finland,FI,Female,85,6.565460164738239,6.90266178724469,6.735809355158642,0.33720162250645114,-0.16685243208604827,-0.3181670495817927,-0.006098676748932506,0.08430040562661278,0.045548700373070405,0.12392762998483459,26,28
Finland,FI,Male,0,78.53227728918351,79.25431671751863,79.11508173967023,0.7220394283351226,-0.13923497784840322,-0.3595575909906305,0.0927494777457955,0.18050985708378064,0.12758979007006319,0.236776102899716,26,28
Finland,FI,Male,10,68.72596253883434,69.48014342943752,69.32375033296346,0.7541808906031804,-0.15639309647406208,-0.3672414672515053,0.056109592973350414,0.1885452226507951,0.1364064133128286,0.24283908899400292,26,28
Finland,FI,Male,20,58.85803141478403,59.649041679897365,59.50912123806852,0.7910102651133357,-0.139920441828842,-0.3424777010848137,0.06367514764028516,0.19775256627833393,0.14601903027991944,0.25038360041205143,26,28
Finland,FI,Male,30,49.278619816874524,50.13059758432435,49.99595061334291,0.8519777674498243,-0.13464697098143574,-0.3181979112704051,0.05679435454169979,0.21299444186245609,0.16420977416789323,0.260662520191406,26,28
Finland,FI,Male,40,39.745940086952274,40.64297016963892,40.46520101142303,0.8970300826866477,-0.17776915821589512,-0.35244963174750077,0.019724314820967693,0.22425752067166194,0.17681495586867585,0.27330152963877075,26,28
Finland,FI,Male,50,30.51140813772599,31.35036700696395,31.268652498774685,0.8389588692379597,-0.08171450818926473,-0.2522803122353112,0.10053443442090051,0.20973971730948993,0.16596594168145554,0.25315381939276416,26,28
Finland,FI,Male,60,21.95966372377512,22.64667525232121,22.610539001355953,0.6870115285460905,-0.03613625096525652,-0.2077213328631567,0.13960630031796728,0.17175288213652262,0.12956361328671473,0.21267058495195867,26,28
Finland,FI,Male,70,14.442678741014216,14.935562292750046,14.952121802281875,0.49288355173582943,0.016559509531829164,-0.14485978622423112,0.18358722384401305,0.12322088793395736,0.08401182867274382,0.16090175688745145,26,28
Finland,FI,Male,80,8.090237371063834,8.494355407268827,8.370379602071427,0.4041180362049932,-0.12397580519740004,-0.28840984802345637,0.05829273533624407,0.1010295090512483,0.057042153412766194,0.14184980963599875,26,28
Finland,FI,Male,85,5.581644660327016,5.98873917507059,5.911649709174617,0.40709451474357383,-0.07708946589597243,-0.2885486768147665,0.12765722223450354,0.10177362868589346,0.04774942365241682,0.15491985229360586,26,28
France,FR,Female,0,85.2071784285464,85.54486391938319,84.94443348320871,0.33768549083679034,-0.6004304361744772,-0.6638856600218677,-0.5292907678616257,0.08442137270919758,0.06950145686577311,0.10121865774842612,28,23
France,FR,Female,10,75.54540375470603,75.8888291255779,75.26848788857109,0.34342537087187,-0.6203412370068122,-0.6841114250411351,-0.5564490999166464,0.0858563427179675,0.07233524742378092,0.1005940947399864,28,23
France,FR,Female,20,65.631376776244565,65.96646157717329,65.33972811401247,0.33508480092872617,-0.6267334631608179,-0.6903814846833072,-0.5622964993467164,0.08377120023218154,0.0710741156279151,0.09886676719227347,28,23
France,FR,Female,30,55.7710895430442,56.09758348435596,55.4695486846297,0.32649394131176024,-0.6280347997262581,-0.686358107546803,-0.569180657255759,0.08162348532794006,0.06809050080516577,0.09586859902528011,28,23
France,FR,Female,40,45.99562765640675,46.32830667230722,45.68604488536404,0.33267901590047444,-0.6422617869431804,-0.6999715632758248,-0.584082752916078,0.08316975397511861,0.07030538227567859,0.09700999576681438,28,23
France,FR,Female,50,36.49702444118963,36.79634874483469,36.144463786325744,0.2993243036450579,-0.6518849585089441,-0.7077276459105513,-0.5972926618728741,0.07483107591126448,0.06253426377346542,0.08824571455856703,28,23
France,FR,Female,60,27.455803562726064,27.708136575669638,27.039262679230102,0.25233301294357346,-0.6688738964395355,-0.72020721661012,-0.6172760852740768,0.06308325323589337,0.051396118606154784,0.07617778270790625,28,23
France,FR,Female,70,18.806873032908864,19.113874716318232,18.449976147659164,0.30700168340936784,-0.6638985686590679,-0.7093602518869775,-0.6180951416913143,0.07675042085234196,0.065374901248377,0.08923137045134316,28,23
France,FR,Female,80,10.883569964800753,11.16689391176889,10.53528910555788,0.283323946968137,-0.6316048062110102,-0.6759229963350446,-0.5883876106256436,0.07083098674203425,0.05998812775427914,0.08278867130020559,28,23
France,FR,Female,85,7.593690418697916,7.800301205855238,7.150373072076513,0.20661078715732195,-0.649928133778725,-0.6977671970871036,-0.6021063026643079,0.05165269678933049,0.039722937902552824,0.06462052060331945,28,23
